api_calls,auxiliary_columns,brotli_base_bytes,brotli_compressed_bytes,brotli_savings_bytes,brotli_savings_ratio,candidate_id,config_name,dataset_id,group,gzip_base_bytes,gzip_compressed_bytes,gzip_savings_bytes,gzip_savings_ratio,input_tokens,lz4_base_bytes,lz4_compressed_bytes,lz4_savings_bytes,lz4_savings_ratio,output_tokens,reason,reconstruction_latency_ms,rows,selected,snappy_base_bytes,snappy_compressed_bytes,snappy_savings_bytes,snappy_savings_ratio,status,strategy,tool_calls,total_tokens,valid,zstd_base_bytes,zstd_compressed_bytes,zstd_savings_bytes,zstd_savings_ratio
,,5923076,5923076,0,0.0,original,20231101.zh-classical,wikimedia/wikipedia,original,6670779,6670779,0,0.0,,10311949,10311949,0,0.0,,,,12708,False,9957397,9957397,0,0.0,valid,original,,,True,8059460,8059460,0,0.0
0,0,,,,,manual_wiki_1,20231101.zh-classical,wikimedia/wikipedia,manual,,,,,0,,,,,0,reconstruction differs in 6 cell(s),,12708,False,,,,,invalid,manual,0,0,False,,,,
0,2,5923076,5861075,62001,0.010467702930031625,manual_wiki_2,20231101.zh-classical,wikimedia/wikipedia,manual,6670779,6606279,64500,0.009669035655355993,0,10311949,10219993,91956,0.008917421915100627,0,,40.7248752,12708,False,9957397,9867483,89914,0.009029869954969155,valid,manual,0,0,True,8059460,7992666,66794,0.008287652026314419
0,2,,,,,manual_wiki_3,20231101.zh-classical,wikimedia/wikipedia,manual,,,,,0,,,,,0,reconstruction differs in 6 cell(s),,12708,False,,,,,invalid,manual,0,0,False,,,,
0,0,5923076,5820958,102118,0.017240703985564258,manual_wiki_4,20231101.zh-classical,wikimedia/wikipedia,manual,6670779,6561228,109551,0.01642251976868069,0,10311949,10154584,157365,0.0152604517341969,0,,29.0679916,12708,True,9957397,9803107,154290,0.015495013405611928,valid,manual,0,0,True,8059460,7939467,119993,0.014888466472939874
0,,,,,,,20231101.zh-classical,wikimedia/wikipedia,heuristic,,,,,0,,,,,0,no candidates were produced,,12708,False,,,,,skipped,heuristic,0,0,False,,,,
1,2,,,,,url_prefix_tail,20231101.zh-classical,wikimedia/wikipedia,agent,,,,,10080,,,,,2575,candidate does not reduce Snappy Parquet size,,12708,False,780831,781876,-1045,-0.0013383177665845746,rejected,single,0,12655,False,,,,
1,2,,,,,url_from_title,20231101.zh-classical,wikimedia/wikipedia,agent,,,,,10080,,,,,2575,candidate does not reduce Snappy Parquet size,,12708,False,780831,783757,-2926,-0.003747289746436809,rejected,single,0,12655,False,,,,
1,3,,,,,url_and_title_from_path,20231101.zh-classical,wikimedia/wikipedia,agent,,,,,10080,,,,,2575,candidate does not reduce Snappy Parquet size,,12708,False,780831,785215,-4384,-0.005614531185365335,rejected,single,0,12655,False,,,,
2,2,5923076,5793975,129101,0.02179627612409498,url_from_title,20231101.zh-classical,wikimedia/wikipedia,agent,6670779,6531287,139492,0.020910901110649895,22899,10311949,10075493,236456,0.022930291839108205,5743,,26.2533293,12708,False,9957397,9720335,237062,0.023807627636017726,valid,two_stage,0,28642,True,8059460,7909810,149650,0.018568241544718877
2,3,5923076,5814205,108871,0.018380821046361722,url_and_title_from_suffix,20231101.zh-classical,wikimedia/wikipedia,agent,6670779,6550872,119907,0.017974962144601103,22899,10311949,10142516,169433,0.01643074456632786,5743,,34.9967625,12708,False,9957397,9781236,176161,0.017691470973789637,valid,two_stage,0,28642,True,8059460,7932383,127077,0.015767433550138595
2,4,5923076,5752431,170645,0.028810199295095994,url_and_text_prefix,20231101.zh-classical,wikimedia/wikipedia,agent,6670779,6487450,183329,0.02748239748311254,22899,10311949,10011310,300639,0.029154430457326738,5743,,27.621729199999997,12708,True,9957397,9663541,293856,0.029511327106873413,valid,two_stage,0,28642,True,8059460,7854309,205151,0.025454683068096375
2,4,5923076,5812508,110568,0.018667327584518584,url_title_text_from_suffixes,20231101.zh-classical,wikimedia/wikipedia,agent,6670779,6551647,119132,0.01785878380920729,22899,10311949,10135163,176786,0.01714380084695919,5743,,29.665716600000003,12708,False,9957397,9785651,171746,0.01724808200376062,valid,two_stage,0,28642,True,8059460,7922724,136736,0.01696590094125413
8,0,,,,,url-title,20231101.zh-classical,wikimedia/wikipedia,agent,,,,,108334,,,,,2589,reconstruction differs in 6 cell(s),,12708,False,,,,,invalid,tool_loop,8,110923,False,,,,
8,2,,,,,url-text-title,20231101.zh-classical,wikimedia/wikipedia,agent,,,,,108334,,,,,2589,reconstruction differs in 6 cell(s),,12708,False,,,,,invalid,tool_loop,8,110923,False,,,,
8,2,5923076,5882501,40575,0.006850325742907908,text-title-prefix,20231101.zh-classical,wikimedia/wikipedia,agent,6670779,6627911,42868,0.006426235976337996,108334,10311949,10248735,63214,0.006130169961081072,2589,,25.417708400000002,12708,False,9957397,9901572,55825,0.0056063848815107,valid,tool_loop,8,110923,True,8059460,8004928,54532,0.006766210143111325
