api_calls,auxiliary_columns,brotli_base_bytes,brotli_compressed_bytes,brotli_savings_bytes,brotli_savings_ratio,candidate_id,config_name,dataset_id,group,gzip_base_bytes,gzip_compressed_bytes,gzip_savings_bytes,gzip_savings_ratio,input_tokens,lz4_base_bytes,lz4_compressed_bytes,lz4_savings_bytes,lz4_savings_ratio,output_tokens,reason,reconstruction_latency_ms,rows,selected,snappy_base_bytes,snappy_compressed_bytes,snappy_savings_bytes,snappy_savings_ratio,status,strategy,tool_calls,total_tokens,valid,zstd_base_bytes,zstd_compressed_bytes,zstd_savings_bytes,zstd_savings_ratio
,,5923076,5923076,0,0.0,original,20231101.zh-classical,wikimedia/wikipedia,original,6670779,6670779,0,0.0,,10311949,10311949,0,0.0,,,,12708,False,9957397,9957397,0,0.0,valid,original,,,True,8059460,8059460,0,0.0
0,0,,,,,manual_wiki_1,20231101.zh-classical,wikimedia/wikipedia,manual,,,,,0,,,,,0,reconstruction differs in 6 cell(s),,12708,False,,,,,invalid,manual,0,0,False,,,,
0,2,5923076,5861075,62001,0.010467702930031625,manual_wiki_2,20231101.zh-classical,wikimedia/wikipedia,manual,6670779,6606279,64500,0.009669035655355993,0,10311949,10219993,91956,0.008917421915100627,0,,19.984379200000003,12708,False,9957397,9867483,89914,0.009029869954969155,valid,manual,0,0,True,8059460,7992666,66794,0.008287652026314419
0,2,,,,,manual_wiki_3,20231101.zh-classical,wikimedia/wikipedia,manual,,,,,0,,,,,0,reconstruction differs in 6 cell(s),,12708,False,,,,,invalid,manual,0,0,False,,,,
0,0,5923076,5820958,102118,0.017240703985564258,manual_wiki_4,20231101.zh-classical,wikimedia/wikipedia,manual,6670779,6561228,109551,0.01642251976868069,0,10311949,10154584,157365,0.0152604517341969,0,,14.8686416,12708,True,9957397,9803107,154290,0.015495013405611928,valid,manual,0,0,True,8059460,7939467,119993,0.014888466472939874
0,,,,,,,20231101.zh-classical,wikimedia/wikipedia,heuristic,,,,,0,,,,,0,no candidates were produced,,12708,False,,,,,skipped,heuristic,0,0,False,,,,
1,0,,,,,url_from_title,20231101.zh-classical,wikimedia/wikipedia,agent,,,,,10080,,,,,3318,"BinderException: Binder Error: Ambiguous reference to column name ""id"" (use: ""x.id"" or ""source.id"")",,12708,False,,,,,error,single,0,13398,False,,,,
1,3,,,,,url_common_prefix,20231101.zh-classical,wikimedia/wikipedia,agent,,,,,10080,,,,,3318,candidate does not reduce Snappy Parquet size,,12708,False,780831,782847,-2016,-0.00258186470567895,rejected,single,0,13398,False,,,,
1,0,,,,,url_suffix_and_decoded_title,20231101.zh-classical,wikimedia/wikipedia,agent,,,,,10080,,,,,3318,"InvalidInputException: Invalid Input Error: Failed to decode string ""5%B2%B3%E9%A3%9B"" using URL decoding - decoded value is invalid UTF8",,12708,False,,,,,error,single,0,13398,False,,,,
2,2,5923076,5794002,129074,0.021791717681826132,url_from_title,20231101.zh-classical,wikimedia/wikipedia,agent,6670779,6531314,139465,0.020906853607352303,21284,10311949,10075520,236429,0.022927673517392298,1808,,13.970179199999999,12708,True,9957397,9720362,237035,0.023804916083992635,valid,two_stage,0,23092,True,8059460,7909837,149623,0.018564891444339943
6,0,,,,,url_from_title,20231101.zh-classical,wikimedia/wikipedia,agent,,,,,67871,,,,,1720,reconstruction differs in 6 cell(s),,12708,False,,,,,invalid,tool_loop,6,69591,False,,,,
6,0,5923076,5820976,102100,0.01723766502405169,title_from_url,20231101.zh-classical,wikimedia/wikipedia,agent,6670779,6561246,109533,0.016419821433148962,67871,10311949,10154602,157347,0.015258706186386297,1720,,14.9581875,12708,False,9957397,9803125,154272,0.015493205704261867,valid,tool_loop,6,69591,True,8059460,7939485,119975,0.014886233072687253
6,1,5923076,5811516,111560,0.018834808130099967,url_title_from_suffix,20231101.zh-classical,wikimedia/wikipedia,agent,6670779,6548127,122652,0.01838645831318951,67871,10311949,10139828,172121,0.01669141303937791,1720,,14.7458042,12708,True,9957397,9778481,178916,0.017968149708201854,valid,tool_loop,6,69591,True,8059460,7929676,129784,0.01610331213257464
,,598249,598249,0,0.0,original,20231101.ab,wikimedia/wikipedia,original,717731,717731,0,0.0,,1193443,1193443,0,0.0,,,,6152,False,1243983,1243983,0,0.0,valid,original,,,True,794286,794286,0,0.0
0,0,,,,,manual_wiki_1,20231101.ab,wikimedia/wikipedia,manual,,,,,0,,,,,0,reconstruction differs in 1 cell(s),,6152,False,,,,,invalid,manual,0,0,False,,,,
0,2,,,,,manual_wiki_2,20231101.ab,wikimedia/wikipedia,manual,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,6152,False,217913,229302,-11389,-0.052263976908215666,rejected,manual,0,0,False,,,,
0,2,,,,,manual_wiki_3,20231101.ab,wikimedia/wikipedia,manual,,,,,0,,,,,0,reconstruction differs in 1 cell(s),,6152,False,,,,,invalid,manual,0,0,False,,,,
